label,address,kind,source_file,current_usage,validation_method,confidence,notes
"steam_zombies_process","t6zm","process_rule","Services/GameProcessDetector.cs","Only supported Steam Zombies process name; unsupported variants are detected without address maps.","Repo process-definition inventory; local Steam manifest confirmed app 202970 installed.","confirmed","Executable path resolved locally to C:\Program Files (x86)\Steam\steamapps\common\Call of Duty Black Ops II\t6zm.exe."
"steam_app_build","appid=202970; buildid=65428","build_metadata","local Steam appmanifest_202970.acf","Build provenance for this RE pack.","Local Steam manifest read; file hash computed.","confirmed","t6zm.exe MD5 68C62BE753DE8ADF2C2C7B28DB769B99; SHA256 3645528D61EF0FB0591D5195E111718235EF3C75F2211BD3633A2DB4DE7C67AC."
"image_base","0x00400000","pe_metadata","artifacts/reverse/ghidra/bo2-ghidra-recon.txt","Base used by all absolute addresses in this pack.","Ghidra PE import metadata.","confirmed","Language x86:LE:32:default, compiler spec windows."
"points","0x0234C068","data","Services/PlayerStatAddressMap.cs; BO2Monitor/Hook.cpp","Mandatory managed score read; polling fallback read.","Repo map and native fallback; live memory not revalidated in this run.","confirmed","Current-build absolute VA."
"kills","0x0234C080","data","Services/PlayerStatAddressMap.cs; BO2Monitor/Hook.cpp","Mandatory managed score read; polling fallback read.","Repo map and native fallback; live memory not revalidated in this run.","confirmed","points + 0x18."
"downs","0x0234C084","data","Services/PlayerStatAddressMap.cs; BO2Monitor/Hook.cpp","Mandatory managed score read; polling fallback read.","Repo map and native fallback; live memory not revalidated in this run.","confirmed","points + 0x1C."
"revives","0x0234C088","data","Services/PlayerStatAddressMap.cs","Mandatory managed score read.","Repo map and tests use fake memory; live memory not revalidated in this run.","confirmed","points + 0x20."
"headshots","0x0234C08C","data","Services/PlayerStatAddressMap.cs","Mandatory managed score read.","Repo map and tests use fake memory; live memory not revalidated in this run.","confirmed","points + 0x24."
"alternate_kills","0x0234C06C","data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only; best-effort read returns null on failure.","weak_candidate","May be another scoreboard/stat view."
"alternate_headshots","0x0234C098","data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only; best-effort read returns null on failure.","weak_candidate","Needs live or static provenance."
"secondary_kills","0x0234C0C0","data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only; best-effort read returns null on failure.","weak_candidate","Needs live or static provenance."
"secondary_headshots","0x0234C0FC","data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only; best-effort read returns null on failure.","weak_candidate","Needs live or static provenance."
"local_player_base","0x02346AA0","structure_base_candidate","Services/PlayerStatAddressMap.cs","Base inferred from local-player candidate fields.","Address deltas in repo map; not computed from base in code.","strong_candidate","Position X is base + 0x28."
"position_x","0x02346AC8","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map and fake tests for read plumbing.","strong_candidate","local_player + 0x28."
"position_y","0x02346ACC","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map and fake tests for read plumbing.","strong_candidate","local_player + 0x2C."
"position_z","0x02346AD0","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map and fake tests for read plumbing.","strong_candidate","local_player + 0x30."
"velocity_x","0x02346AD4","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x34."
"velocity_y","0x02346AD8","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x38."
"velocity_z","0x02346ADC","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x3C."
"gravity","0x02346B2C","int_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x8C."
"speed","0x02346B34","int_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x94."
"last_jump_height","0x02346B64","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0xC4."
"legacy_health","0x02346C48","int_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x1A8."
"ads_amount","0x02346C84","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x1E4."
"view_angle_x","0x02346C9C","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x1FC."
"view_angle_y","0x02346CA0","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x200."
"height_int","0x02346CA4","int_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x204."
"height_float","0x02346CA8","float_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x208."
"player_info_health","0x02346CD8","int_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","local_player + 0x238."
"ammo_slots","0x02346EC8..0x02346EE0","int_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate reads for weapon/ammo state.","Repo map only.","weak_candidate","local_player + 0x428 through +0x440."
"round","0x0233FA10","data","Services/PlayerStatAddressMap.cs; BO2Monitor/Hook.cpp","Optional managed candidate read; native round read for notify publication; polling fallback.","Repo map, native fallback, and validation rules.","confirmed","Native live-round read accepts 1..255; polling publishes increasing 2..255."
"gentity_array","0x021C56C0","structure_base_candidate","Services/PlayerStatAddressMap.cs","Declared but not consumed by current reader except related player-health address.","Repo map only.","weak_candidate","Needs static type recovery."
"gentity_player_health","0x021C5868","int_data_candidate","Services/PlayerStatAddressMap.cs","Optional candidate read.","Repo map only.","weak_candidate","gentity_array + 0x1A8."
"zombie0_gentity","0x021C9B28","structure_base_candidate","Services/PlayerStatAddressMap.cs","Declared but not consumed by current reader.","Repo map only.","weak_candidate","gentity_array + 22 * 0x31C."
"gentity_size","0x0000031C","structure_size_candidate","Services/PlayerStatAddressMap.cs","Declared GEntity stride.","Repo map arithmetic.","weak_candidate","Needs static or runtime validation."
"sv_running","0x02A09F00","byte/int_data_candidate","Services/GameTimingAddressMap.cs","Timing reader server-running gate.","Repo map and unit tests with fake memory.","strong_candidate","Reader treats nonzero as server running."
"cl_paused","0x02A09DE0","int_data_candidate","Services/GameTimingAddressMap.cs","Timing reader pause state.","Repo map and unit tests with fake memory.","strong_candidate","0 means unpaused."
"client_active_pointer","0x0119DC04","pointer_candidate","Services/GameTimingAddressMap.cs","Timing reader follows to client active snapshot.","Repo map and unit tests with fake memory.","strong_candidate","SnapshotValid at +0x50; game time ms at +0x58."
"client_active_snapshot_valid_offset","0x00000050","structure_offset_candidate","Services/GameTimingAddressMap.cs","Timing reader validates client-active snapshot.","Repo map and unit tests with fake memory.","strong_candidate","Offset from dereferenced client_active_pointer."
"client_active_game_time_ms_offset","0x00000058","structure_offset_candidate","Services/GameTimingAddressMap.cs","Timing reader reads game time milliseconds.","Repo map and unit tests with fake memory.","strong_candidate","Offset from dereferenced client_active_pointer."
"local_vm_notify_entry","0x008F31D0","code","BO2Monitor/Hook.cpp; artifacts/reverse/function-catalog.csv","Production notify hook target when VM notify support is enabled.","Ghidra function entry, expected prologue, xrefs, repo compatibility check.","strong_candidate","Callers at 0x006787f9, 0x008f3220, 0x008f5d04."
"local_vm_notify_entry_prologue","55 8B EC 83 E4 F8 83 EC 44","byte_pattern","BO2Monitor/Hook.cpp; artifacts/reverse/function-catalog.csv","Version/build compatibility check before hook install.","Ghidra first bytes and native prologue guard.","confirmed","Stolen byte count is 9."
"public_vm_notify_candidate","0x008F3620","rejected_code_candidate","BO2Monitor/Hook.cpp; artifacts/reverse/function-catalog.csv","Published as rejected discovery evidence.","Ghidra shows instruction containing address is CALL at 0x008F361F, inside FUN_008f31d0.","rejected","Do not hook this address for this Steam build."
"sl_get_string_of_size","0x00418B40","code","BO2Monitor/Hook.cpp; artifacts/reverse/function-catalog.csv","Runtime script string id resolver for notify names.","Ghidra function entry, expected prologue, many callers, native prologue guard.","strong_candidate","Modeled as __cdecl(name, 0, length, 6) -> string id."
"sl_get_string_of_size_prologue","83 EC 0C 8B 54 24 10","byte_pattern","BO2Monitor/Hook.cpp; artifacts/reverse/function-catalog.csv","Version/build compatibility check before calling resolver.","Ghidra first bytes and native prologue guard.","confirmed","Guard prevents calling a mismatched function."
"script_string_data_pointer","0x02BF83A4","data_pointer","BO2Monitor/Hook.cpp; artifacts/reverse/globals-catalog.csv","Runtime string table pointer used to decode weapon aliases.","Ghidra data xrefs and native readable-address guard.","strong_candidate","Entries are 0x18 bytes; text pointer/string starts at entry + 0x04."
"script_string_stride","0x18","structure_stride","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","Script string entry stride.","Repo/Ghidra-derived layout used by native code and tools.","strong_candidate","Current build-specific layout."
"script_string_text_offset","0x04","structure_offset","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","Text offset in each script string entry.","Repo/Ghidra-derived layout used by native code and tools.","strong_candidate","Native code assumes ASCII printable text."
"child_bucket_pointer_slot_base","0x02DEFB00","data_pointer_slot","tools/Find-BO2BoxWeaponByGhidraLayout.ps1; artifacts/reverse/globals-catalog.csv","Runtime script child hash bucket pointer base.","Ghidra data xrefs and companion runtime tool.","strong_candidate","Slot = base + inst * 0x200."
"child_variables_pointer_slot_base","0x02DEFB80","data_pointer_slot","BO2Monitor/Hook.cpp; artifacts/reverse/globals-catalog.csv","Runtime child variable table pointer base.","Ghidra data xrefs and native code.","strong_candidate","Slot = base + inst * 0x200."
"script_instance_pointer_stride","0x200","structure_stride","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","Per-script-instance pointer slot stride.","Repo/Ghidra-derived layout.","strong_candidate","Production scans inst 0 and 1."
"child_variable_stride","0x1C","structure_stride","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","ChildVariableValue entry size.","Native static_assert and Ghidra layout tool.","confirmed","Value +0x00, next +0x08, type +0x0C, key +0x10."
"child_variable_key_offset","0x10","structure_offset","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","Child variable key: parentId and name high bits.","Native struct and Ghidra layout tool.","strong_candidate","Key = (parentId << 16) | (nameId >> 8)."
"child_variable_next_offset","0x08","structure_offset","BO2Monitor/Hook.cpp; tools/Find-BO2BoxWeaponByGhidraLayout.ps1","Hash-chain next child id.","Native struct and Ghidra layout tool.","strong_candidate","Used by field lookup tool."
"scr_find_variable","0x006BFB30","code","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Candidate child-variable lookup helper.","Ghidra function and callsites from vm_notify.","strong_candidate","Hash formula observed in function bytes/decompile/tool."
"scr_get_variable_value","0x00485950","code","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Candidate variable value reader.","Ghidra function and callsites from vm_notify.","strong_candidate","Called after scr_find_variable hits."
"scr_get_variable_value_address","0x0067C1B0","code","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Candidate value-address helper.","Ghidra function and callsites from vm_notify.","strong_candidate","Public vm_notify candidate lies inside a call to this function."
"scr_set_variable_field","0x0058F9E0","code","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Candidate variable field setter/linker.","Ghidra function and callsites from vm_notify.","strong_candidate","Callees include scr_find_variable and another setter helper."
"scr_find_object","0x00474EA0","code","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/function-catalog.csv","Candidate object metadata resolver.","Ghidra function and callsites from vm_notify.","strong_candidate","Used in object traversal branches."
"scr_var_glob","0x02DEA400","data_region_candidate","tools/ghidra/BO2ScriptRecon.java; artifacts/reverse/globals-catalog.csv","Candidate start of script VM globals region.","Ghidra memory block only; no direct xrefs to exact address.","weak_candidate","Nearby pointer slots have stronger evidence."
"snapshot_magic","0x45324F42","abi_constant","contracts/EventMonitorSnapshotContract.v1.json","Shared-memory ABI validation.","Generated C# and C++ constants plus tests.","confirmed","ASCII-like BO2E in little endian."
"snapshot_version","6","abi_constant","contracts/EventMonitorSnapshotContract.v1.json","Shared-memory ABI validation.","Generated C# and C++ constants plus tests.","confirmed","Only supported version currently."
"snapshot_layout","header=36; record=148; map=18980","abi_layout","contracts/EventMonitorSnapshotContract.v1.json","Native writer and managed reader ABI.","Generated constants, native static_assert, tests.","confirmed","Event ring contains 128 records."
